uboat,commander,ship_name,tonnage,nationality,convoy,coordinates,year,month,day
U-47,Günther Prien,Bosnia,"2,407",0,0,"[('45.48', '-9.75')]",1939,9,5
U-48,Herbert Schultze,Royal Sceptre,"4,853",0,0,"[('46.38', '-14.98')]",1939,9,5
U-38,Heinrich Liebe,Manaar,"7,242",0,0,"[('38.47', '-10.83')]",1939,9,6
U-47,Günther Prien,Rio Claro,"4,086",0,0,"[('46.50', '-12.00')]",1939,9,6
U-33,Hans-Wilhelm von Dresky,Olivegrove,"4,060",0,0,"[('49.08', '-15.97')]",1939,9,7
U-34,Wilhelm Rollmann,Pukkastan,"5,809",0,0,"[('49.38', '-7.82')]",1939,9,7
U-47,Günther Prien,Gartavon,"1,777",0,0,"[('47.07', '-11.53')]",1939,9,7
U-29,Otto Schuhart,Regent Tiger,"10,176",0,0,"[('49.95', '-15.57')]",1939,9,8
U-34,Wilhelm Rollmann,Kennebec,"5,548",0,0,"[('49.30', '-8.22')]",1939,9,8
U-48,Herbert Schultze,Winkleigh,"5,055",0,0,"[('48.10', '-18.20')]",1939,9,8
U-30,Fritz-Julius Lemp,Blairlogie,"4,425",0,0,"[('54.97', '-15.23')]",1939,9,11
U-38,Heinrich Liebe,Inverliffey,"9,456",0,0,"[('48.23', '-11.80')]",1939,9,11
U-48,Herbert Schultze,Firby,"4,869",0,0,"[('59.67', '-13.83')]",1939,9,11
U-27,Johannes Franz,Davara,291,0,0,"[('55.60', '-8.42')]",1939,9,13
U-29,Otto Schuhart,Neptunia,798,0,0,"[('49.33', '-14.67')]",1939,9,13
U-28,Günter Kuhnke,Vancouver City,"4,955",0,0,"[('51.38', '-7.05')]",1939,9,14
U-29,Otto Schuhart,British Influence,"8,431",0,0,"[('49.72', '-12.82')]",1939,9,14
U-30,Fritz-Julius Lemp,Fanad Head,"5,200",0,0,"[('56.72', '-15.35')]",1939,9,14
U-36,Wilhelm Fröhlich,Truro,974,0,0,"[('58.33', '2.00')]",1939,9,15
U-53,Ernst-Günter Heinicke,Cheyenne,"8,825",0,0,"[('50.33', '-13.50')]",1939,9,15
U-27,Johannes Franz,Rudyard Kipling,333,0,0,"[('53.83', '-11.17')]",1939,9,16
U-31,Johannes Habekost,Aviemore,"4,060",0,0,"[('49.18', '-13.63')]",1939,9,16
U-33,Hans-Wilhelm von Dresky,Arkleside,"1,567",0,0,"[('48.00', '-9.50')]",1939,9,16
U-29,Otto Schuhart,HMS Courageous (50),"22,500",0,0,"[('50.17', '-14.75')]",1939,9,17
U-53,Ernst-Günter Heinicke,Kafiristan,"5,193",0,0,"[('50.27', '-16.92')]",1939,9,17
U-32,Paul Büchel,Kensington Court,"4,863",0,0,"[('50.52', '-8.45')]",1939,9,18
U-35,Werner Lott,Arlita,326,0,0,"[('57.85', '-9.47')]",1939,9,18
U-35,Werner Lott,Lord Minto,295,0,0,"[('57.85', '-9.47')]",1939,9,18
U-4,Harro von Klot-Heydenfeldt,Martti-Ragnar,"2,262",2,0,"[('58.43', '9.30')]",1939,9,22
U-7,Werner Heidel,Akenside,"2,694",0,0,"[('60.12', '4.62')]",1939,9,22
U-4,Harro von Klot-Heydenfeldt,Walma,"1,361",2,0,"[('58.25', '11.00')]",1939,9,23
U-31,Johannes Habekost,Hazelside,"4,646",0,0,"[('-23.17', '1.60')]",1939,9,24
U-33,Hans-Wilhelm von Dresky,Caldew,287,0,0,"[('60.78', '-6.33')]",1939,9,24
U-4,Harro von Klot-Heydenfeldt,Gertrud Bratt,"1,510",5,0,"[('58.67', '9.87')]",1939,9,24
U-36,Wilhelm Fröhlich,Silesia,"1,839",5,0,"[('58.45', '4.80')]",1939,9,25
U-16,Hannes Weingaertner,Nyland,"3,378",5,0,"[('58.85', '5.00')]",1939,9,28
U-32,Paul Büchel,Jern,875,6,0,"[('58.50', '3.50')]",1939,9,28
U-3,Joachim Schepke,Gun,"1,198",5,0,"[('57.45', '7.92')]",1939,9,30
U-3,Joachim Schepke,Vendia,"1,150",7,0,"[('57.65', '7.80')]",1939,9,30
U-35,Werner Lott,Diamantis,"4,990",8,0,"[('49.25', '-6.58')]",1939,10,3
U-23,Otto Kretschmer,Glen Farg,876,0,0,"[('58.87', '-1.52')]",1939,10,4
U-37,Werner Hartmann,Vistula,"1,018",5,0,"[('61.22', '0.13')]",1939,10,8
U-37,Werner Hartmann,Aris,"4,810",8,0,"[('53.47', '-14.50')]",1939,10,12
U-48,Herbert Schultze,Emile Miguet,"14,115",3,2,"[('50.25', '-14.83')]",1939,10,12
U-48,Herbert Schultze,Heronspool,"5,202",0,3,"[('50.22', '-14.80')]",1939,10,13
U-48,Herbert Schultze,Louisiane,"6,903",3,4,"[('50.23', '-15.33')]",1939,10,13
U-45,Alexander Gelhaar,Bretagne,"10,108",3,5,"[('50.33', '-12.75')]",1939,10,14
U-45,Alexander Gelhaar,Lochavon,"9,205",0,5,"[('50.42', '-13.17')]",1939,10,14
U-47,Günther Prien,HMS Royal Oak (08),"29,150",0,0,"[('58.92', '-2.98')]",1939,10,14
U-48,Herbert Schultze,Sneaton,"3,677",0,0,"[('49.08', '-13.08')]",1939,10,14
U-37,Werner Hartmann,Vermont,"5,186",3,0,"[('48.02', '-17.37')]",1939,10,15
U-37,Werner Hartmann,Yorkshire,"10,183",0,6,"[('44.87', '-14.52')]",1939,10,17
U-46,Herbert Sohler,City of Mandalay,"7,028",0,6,"[('44.95', '-13.60')]",1939,10,17
U-48,Herbert Schultze,Clan Chisholm,"7,256",0,6,"[('44.95', '-13.67')]",1939,10,17
U-34,Wilhelm Rollmann,Gustaf Adolf,926,5,0,"[('61.00', '0.80')]",1939,10,20
U-34,Wilhelm Rollmann,Sea Venture,"2,327",0,0,"[('60.83', '0.25')]",1939,10,20
U-37,Werner Hartmann,Ledbury,"3,528",0,0,"[('36.02', '-7.37')]",1939,10,24
U-37,Werner Hartmann,Menin Ridge,"2,474",0,0,"[('36.02', '-7.37')]",1939,10,24
U-37,Werner Hartmann,Tafna,"4,413",0,0,"[('35.73', '-7.38')]",1939,10,24
U-34,Wilhelm Rollmann,Bronte,"5,317",0,7,"[('49.50', '-12.25')]",1939,10,27
U-59,Harald Jürst,Lynx II,250,0,0,"[('59.83', '-4.33')]",1939,10,28
U-59,Harald Jürst,St. Nidan,565,0,0,"[('59.83', '-4.33')]",1939,10,28
U-34,Wilhelm Rollmann,Malabar,"7,976",0,8,"[('49.95', '-7.62')]",1939,10,29
U-13,Karl Daublebsky von Eichhain,Cairnmona,"4,666",0,9,"[('57.63', '-1.75')]",1939,10,30
U-37,Werner Hartmann,Thrasyvoulos,"3,693",8,0,"[('49.42', '-11.30')]",1939,10,30
U-59,Harald Jürst,HMS Northern Rover (4.58),655,0,0,"[('59.95', '-4.40')]",1939,10,30
U-25,Viktor Schütze,Baoulé,"5,874",3,10,"[('43.80', '-9.13')]",1939,10,31
U-41,Gustav-Adolf Mugler,Arne Kjøde,"11,019",6,0,"[('58.85', '-8.12')]",1939,11,12
U-41,Gustav-Adolf Mugler,Cresswell,275,0,0,"[('58.53', '-7.92')]",1939,11,12
U-26,Klaus Ewerth,Loire,"4,285",3,0,"[('36.27', '-2.22')]",1939,11,13
U-43,Wilhelm Ambrosius,Arlington Court,"4,915",0,11,"[('48.23', '-11.70')]",1939,11,16
U-28,Günter Kuhnke,Sliedrecht,"5,133",9,0,"[('56.00', '-11.32')]",1939,11,17
U-57,Claus Korth,Kaunas,"1,566",10,0,"[('52.08', '2.50')]",1939,11,17
U-18,Max-Hermann Bauer,Parkhill,500,0,0,"[('58.12', '-2.30')]",1939,11,18
U-22,Karl-Heinrich Jenisch,Wigmore,345,0,12,"[('57.98', '-2.30')]",1939,11,18
U-13,Heinz Scheringer,Bowling,793,0,0,"[('55.75', '-1.58')]",1939,11,19
U-41,Gustav-Adolf Mugler,Darino,"1,351",0,0,"[('44.20', '-11.12')]",1939,11,19
U-49,Kurt von Gossler,Pensilva,"4,258",0,0,"[('46.85', '-11.60')]",1939,11,19
U-57,Claus Korth,Stanbrook,"1,383",0,0,"[('51.85', '2.42')]",1939,11,19
U-33,Hans-Wilhelm von Dresky,Delphine,250,0,0,"[('55.45', '-8.42')]",1939,11,20
U-33,Hans-Wilhelm von Dresky,Sea Sweeper,329,0,0,"[('55.65', '-8.58')]",1939,11,20
U-33,Hans-Wilhelm von Dresky,Thomas Hankins,276,0,0,"[('55.35', '-8.58')]",1939,11,20
U-33,Hans-Wilhelm von Dresky,Sulby,287,0,0,"[('55.85', '-8.25')]",1939,11,21
U-33,Hans-Wilhelm von Dresky,William Humphries,276,0,0,"[('55.85', '-8.25')]",1939,11,21
U-41,Gustav-Adolf Mugler,Les Barges II,296,3,0,"[('45.58', '-3.37')]",1939,11,21
U-43,Wilhelm Ambrosius,Arijon,"4,374",3,13,"[('45.67', '-4.83')]",1939,11,22
U-28,Günter Kuhnke,Royston Grange,"5,144",0,14,"[('49.25', '-9.00')]",1939,11,25
U-43,Wilhelm Ambrosius,Uskmouth,"2,483",0,0,"[('43.37', '-11.45')]",1939,11,25
U-48,Herbert Schultze,Gustaf E. Reuter,"6,336",5,0,"[('59.63', '-2.05')]",1939,11,27
U-31,Johannes Habekost,Arcturus,"1,277",6,0,"[('57.65', '0.60')]",1939,12,1
U-31,Johannes Habekost,Ove Toft,"2,135",7,0,"[('55.60', '-0.77')]",1939,12,3
U-56,Wilhelm Zahn,Rudolf,"2,119",5,0,"[('58.12', '1.53')]",1939,12,3
U-31,Johannes Habekost,Gimle,"1,271",6,0,"[('57.25', '1.83')]",1939,12,4
U-31,Johannes Habekost,Primula,"1,024",6,0,"[('57.25', '1.83')]",1939,12,4
U-47,Günther Prien,Navasota,"8,795",0,17,"[('50.72', '-10.27')]",1939,12,5
U-31,Johannes Habekost,Agu,"1,575",4,0,"[('56.05', '0.58')]",1939,12,6
