date,vessel,type,class
Polish Navy,3 Sep 1939,ORP General Haller (H),Gunboat
Polish Navy,3 Sep 1939,ORP Gryf,Minelayer
Polish Navy,3 Sep 1939,ORP Wicher,Destroyer
Royal Dutch Navy,8 Sep 1939,HNMS Willem van Ewijck (i),Minesweeper
Royal Navy,10 Sep 1939,HMS Oxley (55 P),Submarine
French Navy,13 Sep 1939,FR Pluton,Light cruiser
Polish Navy,14 Sep 1939,ORP Czapla (CP),Minesweeper
Polish Navy,14 Sep 1939,ORP Jaskolka (J),Minesweeper
Royal Navy,17 Sep 1939,HMS Courageous (50),Aircraft Carrier
Royal Navy,14 Oct 1939,HMS Royal Oak (08),Battleship
Royal Navy,30 Oct 1939,HMS Northern Rover (4.58),ASW Trawler
Royal Navy,13 Nov 1939,HMS Blanche (H 47),Destroyer
Royal Navy,16 Nov 1939,HMS MTB 6 (MTB 6),Motor Torpedo Boat
Royal Navy,20 Nov 1939,HMS Mastiff (T 10),ASW Trawler
Royal Navy,21 Nov 1939,HMS Gipsy (H 63),Destroyer
Royal Navy,22 Nov 1939,HMS Aragonite,MS Trawler
Royal Navy,23 Nov 1939,HMS Rawalpindi,Armed Merchant Cruiser
Royal Navy,12 Dec 1939,HMS Duchess (H 64),Destroyer
Royal Navy,13 Dec 1939,HMS William Hallett (FY 554),MS Trawler
Royal Navy,14 Dec 1939,HMS James Ludford (T 16),MS Trawler
Royal Navy,16 Dec 1939,HMS Sedgefly (FY 122),ASW Trawler
Royal Navy,20 Dec 1939,HMS Napia,Tug
Royal Navy,21 Dec 1939,HMS Bayonet (Z 05),Boom defence vessel
Royal Navy,22 Dec 1939,HMS Dromio,MS Trawler
Royal Navy,25 Dec 1939,HMS Loch Doon (FY 127),ASW Trawler
Royal Navy,5 Jan 1940,HMS Kingston Cornelian (FY 121),ASW Trawler
Royal Navy,7 Jan 1940,HMS Seahorse (98 S),Submarine
Royal Navy,7 Jan 1940,HMS Undine (i) (N 48),Submarine
Royal Navy,9 Jan 1940,HMS Starfish (19 S),Submarine
Royal Navy,11 Jan 1940,HMS Princess (FY 021),Armed Yacht
Royal Navy,19 Jan 1940,HMS Grenville (i) (H 03),Destroyer
Royal Navy,21 Jan 1940,HMS Exmouth (H 02),Destroyer
Royal Navy,3 Feb 1940,HMS Sphinx (J 69),Minesweeper
Royal Navy,9 Feb 1940,HMS Fort Royal (FY 771),MS Trawler
Royal Navy,9 Feb 1940,HMS Robert Bowen,MS Trawler
Royal Navy,18 Feb 1940,HMS Daring (H 16),Destroyer
Royal Navy,20 Feb 1940,HMS Fifeshire,ASW Trawler
Royal Navy,23 Feb 1940,HMS Benvolio (FY 710),MS Trawler
Royal Navy,2 Mar 1940,HMS Fairplay II,Rescue Tug
Royal Navy,15 Mar 1940,HMS Peridot (FY 198),ASW Trawler
French Navy,24 Mar 1940,FR La Railleuse,Destroyer
Royal Navy,8 Apr 1940,HMS Glowworm (H 92),Destroyer
Royal Norwegian Navy,9 Apr 1940,HNoMS Aeger,Destroyer
Royal Norwegian Navy,9 Apr 1940,HNoMS Eidsvold,Coastal defence ship
Royal Navy,9 Apr 1940,HMS Gurkha (i) (F 20),Destroyer
Royal Norwegian Navy,9 Apr 1940,HNoMS Norge,Coastal defence ship
Royal Navy,10 Apr 1940,HMS Hardy (i) (H 87),Destroyer
Royal Navy,10 Apr 1940,HMS Hunter (i) (H 35),Destroyer
Royal Navy,10 Apr 1940,HMS Tarpon (N 17),Submarine
Royal Navy,10 Apr 1940,HMS Thistle (N 24),Submarine
Royal Norwegian Navy,15 Apr 1940,HNoMS A-3,Submarine
Royal Norwegian Navy,15 Apr 1940,HNoMS A-4,Submarine
Royal Navy,18 Apr 1940,HMS Sterlet (N 22),Submarine
Royal Navy,20 Apr 1940,HMS Rutlandshire,ASW Trawler
