date,uboat,commander,ship_name,tonnage,nationality,convoy,coordinates
5 Sep 1939,U-47,Günther Prien,Bosnia,"2,407",br,-,"[('45.48', '-9.75')]"
5 Sep 1939,U-48,Herbert Schultze,Royal Sceptre,"4,853",br,-,"[('46.38', '-14.98')]"
6 Sep 1939,U-38,Heinrich Liebe,Manaar,"7,242",br,-,"[('38.47', '-10.83')]"
6 Sep 1939,U-47,Günther Prien,Rio Claro,"4,086",br,-,"[('46.50', '-12.00')]"
7 Sep 1939,U-33,Hans-Wilhelm von Dresky,Olivegrove,"4,060",br,-,"[('49.08', '-15.97')]"
7 Sep 1939,U-34,Wilhelm Rollmann,Pukkastan,"5,809",br,-,"[('49.38', '-7.82')]"
7 Sep 1939,U-47,Günther Prien,Gartavon,"1,777",br,-,"[('47.07', '-11.53')]"
8 Sep 1939,U-29,Otto Schuhart,Regent Tiger,"10,176",br,-,"[('49.95', '-15.57')]"
8 Sep 1939,U-34,Wilhelm Rollmann,Kennebec,"5,548",br,-,"[('49.30', '-8.22')]"
8 Sep 1939,U-48,Herbert Schultze,Winkleigh,"5,055",br,-,"[('48.10', '-18.20')]"
10 Sep 1939,U-13,Karl Daublebsky von Eichhain,Magdapur [Mine],"8,641",br,-,
10 Sep 1939,U-15,Heinz Buchholz,Goodwood [Mine],"2,796",br,-,
11 Sep 1939,U-30,Fritz-Julius Lemp,Blairlogie,"4,425",br,-,"[('54.97', '-15.23')]"
11 Sep 1939,U-38,Heinrich Liebe,Inverliffey,"9,456",br,-,"[('48.23', '-11.80')]"
11 Sep 1939,U-48,Herbert Schultze,Firby,"4,869",br,-,"[('59.67', '-13.83')]"
13 Sep 1939,U-27,Johannes Franz,Davara,291,br,-,"[('55.60', '-8.42')]"
13 Sep 1939,U-29,Otto Schuhart,Neptunia,798,br,-,"[('49.33', '-14.67')]"
14 Sep 1939,U-17,Heinz von Reiche,Hawarden Castle [Mine],210,br,-,
14 Sep 1939,U-28,Günter Kuhnke,Vancouver City,"4,955",br,-,"[('51.38', '-7.05')]"
14 Sep 1939,U-29,Otto Schuhart,British Influence,"8,431",br,-,"[('49.72', '-12.82')]"
14 Sep 1939,U-30,Fritz-Julius Lemp,Fanad Head,"5,200",br,-,"[('56.72', '-15.35')]"
15 Sep 1939,U-26,Klaus Ewerth,Alex van Opstal [Mine],"5,965",be,-,
15 Sep 1939,U-36,Wilhelm Fröhlich,Truro,974,br,-,"[('58.33', '2.00')]"
15 Sep 1939,U-53,Ernst-Günter Heinicke,Cheyenne,"8,825",br,-,"[('50.33', '-13.50')]"
